duration_sec,start_time,end_time,start_station_id,start_station_name,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_latitude,end_station_longitude,bike_id,user_type,member_birth_year,member_gender
80110,57:39.7,12:50.2,74,Laguna St at Hayes St,37.77643482,-122.426244,43,San Francisco Public Library (Grove St at Hyde St),37.7787677,-122.4159292,96,Customer,1987,Male
78800,56:34.8,49:55.6,284,Yerba Buena Center for the Arts (Howard St at 3rd St),37.78487208,-122.4008757,96,Dolores St at 15th St,37.7662102,-122.4266136,88,Customer,1965,Female
45768,45:48.4,28:36.9,245,Downtown Berkeley BART,37.8703477,-122.2677637,245,Downtown Berkeley BART,37.8703477,-122.2677637,1094,Customer,,
62172,31:10.6,47:23.5,60,8th St at Ringold St,37.7745204,-122.4094494,5,Powell St BART Station (Market St at 5th St),37.78389936,-122.4084449,2831,Customer,,
43603,23:14.0,29:57.6,239,Bancroft Way at Telegraph Ave,37.8688126,-122.258764,247,Fulton St at Bancroft Way,37.8677892,-122.2658964,3167,Subscriber,1997,Female
9226,51:00.9,24:47.2,30,San Francisco Caltrain (Townsend St at 4th St),37.776598,-122.395282,30,San Francisco Caltrain (Townsend St at 4th St),37.776598,-122.395282,1487,Customer,,
4507,49:28.4,04:35.6,259,Addison St at Fourth St,37.866249,-122.2993708,259,Addison St at Fourth St,37.866249,-122.2993708,3539,Customer,1991,Female
4334,46:37.2,58:51.2,284,Yerba Buena Center for the Arts (Howard St at 3rd St),37.78487208,-122.4008757,284,Yerba Buena Center for the Arts (Howard St at 3rd St),37.78487208,-122.4008757,1503,Customer,,
4150,37:07.5,46:18.3,20,Mechanics Monument Plaza (Market St at Bush St),37.7913,-122.399051,20,Mechanics Monument Plaza (Market St at Bush St),37.7913,-122.399051,3125,Customer,,
4238,35:38.1,46:17.1,20,Mechanics Monument Plaza (Market St at Bush St),37.7913,-122.399051,20,Mechanics Monument Plaza (Market St at Bush St),37.7913,-122.399051,2543,Customer,,
3292,46:32.4,41:24.6,284,Yerba Buena Center for the Arts (Howard St at 3rd St),37.78487208,-122.4008757,22,Howard St at Beale St,37.789756,-122.394643,3058,Customer,,
3177,48:11.8,41:09.6,284,Yerba Buena Center for the Arts (Howard St at 3rd St),37.78487208,-122.4008757,22,Howard St at Beale St,37.789756,-122.394643,3197,Customer,,
2183,52:55.6,29:18.7,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),37.7766392,-122.3955263,24,Spear St at Folsom St,37.7896767,-122.3904285,2311,Subscriber,1990,Male
2170,52:55.9,29:06.9,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),37.7766392,-122.3955263,24,Spear St at Folsom St,37.7896767,-122.3904285,3717,Subscriber,1990,Male
2697,35:23.2,20:20.8,66,3rd St at Townsend St,37.77874161,-122.3927408,23,The Embarcadero at Steuart St,37.791464,-122.391034,3452,Customer,,
1544,53:38.9,19:23.0,14,Clay St at Battery St,37.795001,-122.39997,27,Beale St at Harrison St,37.7880593,-122.3918648,558,Subscriber,1980,Female
1474,54:40.1,19:14.4,14,Clay St at Battery St,37.795001,-122.39997,27,Beale St at Harrison St,37.7880593,-122.3918648,3646,Subscriber,1979,Male
1397,55:09.7,18:26.7,78,Folsom St at 9th St,37.7737172,-122.4116467,15,San Francisco Ferry Building (Harry Bridges Plaza),37.795392,-122.394203,1667,Customer,,
1532,52:49.5,18:22.0,78,Folsom St at 9th St,37.7737172,-122.4116467,15,San Francisco Ferry Building (Harry Bridges Plaza),37.795392,-122.394203,3114,Subscriber,1988,Other
1216,46:34.0,06:50.1,4,Cyril Magnin St at Ellis St,37.78588063,-122.408915,123,Folsom St at 19th St,37.7605936,-122.4148171,1473,Subscriber,1971,Male
386,59:01.3,05:27.8,317,San Salvador St at 9th St,37.333955,-121.877349,296,5th St at Virginia St,37.3259984,-121.87712,1603,Subscriber,1992,Male
4174,52:22.3,01:56.6,30,San Francisco Caltrain (Townsend St at 4th St),37.776598,-122.395282,6,The Embarcadero at Sansome St,37.80477,-122.403234,809,Customer,,
422,54:25.3,01:27.4,139,Garfield Square (25th St at Harrison St),37.7510171,-122.4119009,99,Folsom St at 15th St,37.7670373,-122.4154425,2415,Subscriber,1985,Male
1165,35:55.5,55:21.2,66,3rd St at Townsend St,37.77874161,-122.3927408,23,The Embarcadero at Steuart St,37.791464,-122.391034,3671,Customer,,
1149,36:03.6,55:13.5,66,3rd St at Townsend St,37.77874161,-122.3927408,23,The Embarcadero at Steuart St,37.791464,-122.391034,3375,Customer,,
1130,36:16.1,55:06.1,66,3rd St at Townsend St,37.77874161,-122.3927408,23,The Embarcadero at Steuart St,37.791464,-122.391034,2721,Customer,,
1003,36:34.5,53:18.2,66,3rd St at Townsend St,37.77874161,-122.3927408,23,The Embarcadero at Steuart St,37.791464,-122.391034,2522,Customer,,
862,38:24.9,52:47.5,6,The Embarcadero at Sansome St,37.80477,-122.403234,15,San Francisco Ferry Building (Harry Bridges Plaza),37.795392,-122.394203,533,Customer,,
871,37:47.2,52:18.5,323,Broadway at Kearny,37.79801364,-122.4059504,14,Clay St at Battery St,37.795001,-122.39997,1456,Subscriber,1979,Male
784,39:13.1,52:17.3,6,The Embarcadero at Sansome St,37.80477,-122.403234,15,San Francisco Ferry Building (Harry Bridges Plaza),37.795392,-122.394203,1691,Customer,,
767,39:29.8,52:17.1,6,The Embarcadero at Sansome St,37.80477,-122.403234,15,San Francisco Ferry Building (Harry Bridges Plaza),37.795392,-122.394203,1568,Customer,,
5193,25:08.6,51:42.4,49,S Park St at 3rd St,37.7807601,-122.3949894,11,Davis St at Jackson St,37.79728,-122.398436,2823,Customer,,
733,38:38.9,50:52.5,323,Broadway at Kearny,37.79801364,-122.4059504,14,Clay St at Battery St,37.795001,-122.39997,1634,Subscriber,1980,Female
781,33:53.0,46:55.0,251,California St at University Ave,37.87055533,-122.2797203,259,Addison St at Fourth St,37.866249,-122.2993708,3539,Customer,1991,Female
475,37:35.5,45:30.8,7,Frank H Ogawa Plaza,37.80456235,-122.2717381,230,14th St at Mandela Pkwy,37.8107432,-122.2914153,3598,Subscriber,1978,Male
152,41:32.9,44:05.0,96,Dolores St at 15th St,37.7662102,-122.4266136,86,Market St at Dolores St,37.7693053,-122.4268256,2728,Subscriber,1980,Male
249,38:37.7,42:47.2,278,The Alameda at Bush St,37.3319323,-121.9048882,314,Santa Clara St at Almaden Blvd,37.333988,-121.894902,47,Subscriber,1993,Male
